author_id,created_at,text
comcastcares,2022-06-02 10:32:00.033829,@116603 I completely understand how this is frustrating and I want to make this right for you. I can provide a $10.00 credit for the inconvenience for you not being able to view the game.-RM
116603,2022-06-02 10:32:00.134720,@comcastcares What? That's ridiculous. It makes no sense that someone else is at fault for your programming error... U had wrong game labeled... twice. how is that someone else fault?
comcastcares,2022-06-02 10:32:00.235806,@116603 I agree in the end you should have gotten to watch it live. If it were up to us we would definitely be able to do just that. There are things that are beyond our control when it comes to contract negotiations licensing agreement &amp; restrictions. -AMD
comcastcares,2022-06-02 10:32:00.336834,"@116603 Thanks for reaching out to us with your concern about the game. This is likely due to licensing agreement restrictions between us, the network and the league. We apologize for any inconvenience. -Ken"
116603,2022-06-02 10:32:00.437854,Damn... how fucked up is @115900 the #UVA #RIU game is over... but I went by they're espn setting... this game can't be just coming on LIVE... how I hate them!!! https://t.co/NXdDA3OVaa
comcastcares,2022-06-02 10:32:00.539703,@116604 I can help you. Can you DM me your address and phone number please? -AG
116604,2022-06-02 10:32:00.641837,"@ComcastCares
#mobile_Care I’m having trouble viewing my channels on my tv"
UPSHelp,2022-06-02 10:32:00.743071,@116605 I am sorry about this.  Were you home at the time the delivery occurred?
116605,2022-06-02 10:32:00.844764,@115817 leaving something in my building is not delivering that thing to me.  Honestly it’s just stupid.
UPSHelp,2022-06-02 10:32:00.946725,"@116606 I'm very saddened to hear your package has not been delivered. Please DM my team your tracking number., We will take a deeper look into the details for you. ^TB https://t.co/wKJHDXWGRQ"
116606,2022-06-02 10:32:01.047876,@UPSHelp  https://t.co/FOBx5USiy1
116606,2022-06-02 10:32:01.149117,"@115817 @UPSHELP You have an epic fail regarding a delivery. It’s unacceptable and poor service. No delivery attempt by driver, lying by the driver, then misinformed by phone agent and still no delivery and it will be 3days late."
UPSHelp,2022-06-02 10:32:01.251509,"@116607 Please DM us your tracking, delivery address and contact number via the link so we can look into this for you. ^CH https://t.co/wKJHDXWGRQ"
116607,2022-06-02 10:32:01.352730,Yall got 47 minutes @UPSHelp @115817
Uber_Support,2022-06-02 10:32:01.456518,@116608 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.
116608,2022-06-02 10:32:01.558194,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡"
Uber_Support,2022-06-02 10:32:01.659619,"@116609 We've replied via DM, please follow up there."
116609,2022-06-02 10:32:01.761472,@Uber_Support Are you going to email me or not
Uber_Support,2022-06-02 10:32:01.862748,@116609 We hope everyone is ok. Please DM us your email address so we can follow up immediately.
116609,2022-06-02 10:32:01.963964,@Uber_Support my driver crashed and I hit my head happy Halloween
AmazonHelp,2022-06-02 10:32:02.065427,"@116610 We'd like to take a look into this with you. When you have a moment, please reach out to us here: https://t.co/qy3J24VGxb ^AC"
116610,2022-06-02 10:32:02.167174,@AmazonHelp Have completed form and emailed you.
116610,2022-06-02 10:32:02.268351,@AmazonHelp There was only one costing a lot more than £20 and  FBA -stating eligibility !
AmazonHelp,2022-06-02 10:32:02.369831,@116610 Is everything in your basket eligible? You can find more info here: https://t.co/d1x19RiAXm Let us know if this helps! ^EB
116610,2022-06-02 10:32:02.473935,@115830 Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?
AmazonHelp,2022-06-02 10:32:02.575771,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA
116611,2022-06-02 10:32:02.677049,@AmazonHelp All of them
AmazonHelp,2022-06-02 10:32:02.778475,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML
116611,2022-06-02 10:32:02.879527,@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me
AmazonHelp,2022-06-02 10:32:02.982194,@116612 I'm sorry your account is locked! Please reach out directly to us here: https://t.co/jzvkhdlrK5 so we can take a closer look. ^TN
116612,2022-06-02 10:32:03.084736,@AmazonHelp I can’t log in because it’s locked.
AmazonHelp,2022-06-02 10:32:03.186271,"@116612 The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB"
116612,2022-06-02 10:32:03.290524,"@AmazonHelp um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked..."
AmazonHelp,2022-06-02 10:32:03.391371,@116613 Hier findest du alle Infos darüber: https://t.co/FSmvkW0SJB ^AS
116613,2022-06-02 10:32:03.492472,@AmazonHelp Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine
AmazonHelp,2022-06-02 10:32:03.596624,"@116613 Du hast die Möglichkeit, Amazon.de Geschenkkarten aus dem stationären Handel für deine Bestellungen einzulösen. Gruß ^DS"
116613,2022-06-02 10:32:03.698037,@AmazonHelp Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?
AmazonHelp,2022-06-02 10:32:03.799700,@116614 Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: https://t.co/ouAOLcNWp4 ^JJ
116614,2022-06-02 10:32:03.902350,"@AmazonHelp na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?"
AmazonHelp,2022-06-02 10:32:04.003445,"@116615 Not what we like to hear at all, Ramya! Was this shipped by us or a seller? You can check here: https://t.co/PyACxvY8Qo ^BL"
116615,2022-06-02 10:32:04.104458,Thanks @116090 for ruining #Halloween - still no sign of the costume I ordered in Sept. Guess Rosie will just have to sit this one out. https://t.co/1tVEv5DZuM
AmazonHelp,2022-06-02 10:32:04.208367,@116616 ¿Puedes explicarnos bien el inconveniente  y mandarnos los detalles en este enlace por favor? https://t.co/kUkXHFkYWd  ^JJ
116616,2022-06-02 10:32:04.309917,@AmazonHelp infórmese... no voy a perder más mi tiempo...
AmazonHelp,2022-06-02 10:32:04.411037,"@116616 David, te recomendamos no compartir informaciones personales por este medio, te sugerimos editar o eliminar este mensaje. (1/2)"
AmazonHelp,2022-06-02 10:32:04.513287,@116617 Have you already tried a restart? Kind regards ^NW
116617,2022-06-02 10:32:04.618066,"@AmazonHelp Many times, but still failing, and it happen with some show"
AmazonHelp,2022-06-02 10:32:04.719918,@116617 Is this still ongoing? What devices are you using? ^AN
116617,2022-06-02 10:32:04.824608,@AmazonHelp Sadly yes
AmazonHelp,2022-06-02 10:32:04.925775,@116617 What devices are you using for Amazon Video? ^AN
116617,2022-06-02 10:32:05.026859,"@AmazonHelp Mac book pro, with Chrome"
AmazonHelp,2022-06-02 10:32:05.129499,@116617 In this case please contact my colleagues via: https://t.co/LFLW8z8jr2 They will help you! Regards ^DW
AmazonHelp,2022-06-02 10:32:05.234104,@116617 Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA
116617,2022-06-02 10:32:05.335311,"@AmazonHelp I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?"
AmazonHelp,2022-06-02 10:32:05.436688,@116617 Changing language is just a simple click: https://t.co/CXXk5VglR4 You can reach our support here: https://t.co/aAfOxTGpe1 ^UK
116617,2022-06-02 10:32:05.538544,@116618 why your videos on Germany breaks too?
AmazonHelp,2022-06-02 10:32:05.639846,"@116619  I'm sorry your parcel wasn't delivered. Please reach us here: https://t.co/XRh1cqD2lT, so we can look into this with you. ^MO"
116619,2022-06-02 10:32:05.741212,@115830 you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡
AppleSupport,2022-06-02 10:32:05.843595,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT
116620,2022-06-02 10:32:05.945013,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport
AppleSupport,2022-06-02 10:32:06.048429,@116621 Let's look at this together. Are you updated to iOS 11.1?
116621,2022-06-02 10:32:06.150860,"@AppleSupport 11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol"
AppleSupport,2022-06-02 10:32:06.252242,"@116621 It was released earlier today. Let's use these steps to update iOS:  
 https://t.co/80YRnjDFDk"
116621,2022-06-02 10:32:06.354331,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport
AppleSupport,2022-06-02 10:32:06.460371,"@116622 We understand your concerns, and want to help. Which device is this happening on?"
