author_id,created_at,text
117336,2022-06-02 10:36:00.002729,@AdobeCare Yes but i cant upload iT on privay chat on Twitter
AdobeCare,2022-06-02 10:36:00.104247,"@117336 Hi, does project open up in Indesign CC CC 2017? If it does. Please try copying the contents to a new file to open in CC 2018. ^SV"
117336,2022-06-02 10:36:00.208829,@AdobeCare so i cant open iT in 2017
AdobeCare,2022-06-02 10:36:00.310593,"@117336 Let me loop in the expert. It is after hour for the expert, they will respond ASAP back in office again, please excuse the delay.^Raj"
117336,2022-06-02 10:36:00.412099,@AdobeCare Oki Np
AdobeCare,2022-06-02 10:36:00.513403,@117336 We appreciate your patience. ^Raj
AdobeCare,2022-06-02 10:36:00.615229,@117336 My email is: __email__  ^OM
117336,2022-06-02 10:36:00.716438,@AdobeCare i send you the file to your email :D
AdobeCare,2022-06-02 10:36:00.818711,"@117336 Hi,
I believe we are missing your exact workflow. Please DM steps you are trying (link attached). You also can share the file on my email. https://t.co/iuwZCjz4Or"
117336,2022-06-02 10:36:00.921438,@AdobeCare I already updated al my adobe programs
117336,2022-06-02 10:36:01.022420,@AdobeCare i don't know how shareing works
AdobeCare,2022-06-02 10:36:01.125677,@117336 Adding ^OM back for advice. ^NR https://t.co/iuwZCjz4Or
AdobeCare,2022-06-02 10:36:01.231830,@117336 You can email me the file at __email__  ^OM
AdobeCare,2022-06-02 10:36:01.333121,"@117336 Hi, we're looping in an expert who can help you out here. They will reply as soon as they're available. ^NR https://t.co/iuwZCjz4Or"
117336,2022-06-02 10:36:01.434299,"Thx @115778 i cant open My project anymore !
The New version of adobe has a lot of Buggs !!!"
AdobeCare,2022-06-02 10:36:01.536449,"@117337 Hi Ken, did the same book open successfully in a previous version of ADE? ^B"
117337,2022-06-02 10:36:01.637939,@AdobeCare Yes... but on a different computer... but the new computer is authorized with the same Adobe ID.
AdobeCare,2022-06-02 10:36:01.740449,@117337 This question is best suited for our experts at https://t.co/lJe4ZDc3yH. You can search or post a new question- our community is there. ^Raj
117337,2022-06-02 10:36:01.843308,"@AdobeCare ""The vendor account you entered is not associated with the item you are trying to open"" when I try to open books with new ADE"
AdobeCare,2022-06-02 10:36:01.944497,"@117338 Hi there, what's the file type of the image you're trying to place? Have you tried re-saving the image? ^Wren"
