author_id,created_at,text
Tesco,2022-06-02 10:48:00.056699,"@119551 Hey Mo, we no longer do the double up event in store, but we still have our partners :) Kind regards - Rhys"
119551,2022-06-02 10:48:00.157621,@Tesco Perfect. Thanks.
119551,2022-06-02 10:48:00.260339,"@Tesco Cameron, When is the #Clubcard boost again? Love this type of turn of events, thanks for the heads up. #moremoneysaving 😀"
Tesco,2022-06-02 10:48:00.365622,@119551 Glad you're happy with your vouchers Mo. Remember you can get up to 4x the value out of them on Clubcard Boost. Happy Halloween - Cameron
119551,2022-06-02 10:48:00.469565,"@119552 @Tesco My clubcard points are set to Christmas saver-they saved them all up for me, the little darlings💋I also do the surveys on the receipts that gives 25 points I think. Possibly a bit of petrol too 🙂"
119552,2022-06-02 10:48:00.572736,@119551 @Tesco Ooh £15! How did you get that? I do my monthly shop there consistently and most I get is an £8 money off voucher!
119551,2022-06-02 10:48:00.682645,Top tip! Got £15 pounds in vouchers from Tesco yesterday 🙂I only ever buy a top up loaf and bits of fruit there so very happy with that! Thanks @Tesco 😉 https://t.co/LV48AV0oEJ
Tesco,2022-06-02 10:48:00.790503,"@119553 Hi Emma, I have replied to your DM. - Ceri"
119553,2022-06-02 10:48:00.891677,@Tesco I sent a DM nearly an hour ago regarding our delivery but not received a reply yet!
Tesco,2022-06-02 10:48:00.993157,@119554 Not a problem Joanne. - Ceri
119554,2022-06-02 10:48:01.094552,"@Tesco Hi, this still doesn’t fix the problem. Still getting the same error message"
Tesco,2022-06-02 10:48:01.197505,"@119554 Hi Joanne, have you tried an alternate browser or device? Ty - James"
119554,2022-06-02 10:48:01.302016,"@Tesco Hi, miraculously it’s now working 🤔. Thanks for the help 😁"
119554,2022-06-02 10:48:01.409312,"@Tesco Thank you, I’ll give it a go tomorrow and let you know Andrew"
Tesco,2022-06-02 10:48:01.513699,"@119554 This should work, however if not please get back in touch. Ty Andrew 3/3"
119554,2022-06-02 10:48:01.615481,"@Tesco No I haven’t, it won’t let me past that error message after entering payment.  Been like this for 3 weeks, having to shop elsewhere"
Tesco,2022-06-02 10:48:01.721338,@119554 This is strange Joanne. Have you been able to make an order? - Danny
119554,2022-06-02 10:48:01.822709,"@Tesco I keep getting the following error message at checkout. Phoned your helpline twice but not resolved, can you help? https://t.co/Xomx4UW2ED"
