author_id,created_at,text
BofA_Help,2022-06-02 10:29:00.009366,@116037 I called and left a message for you. Please return my call at the number provided or DM me when you are available.  ^kl
116037,2022-06-02 10:29:00.110448,"@BofA_Help Thank you because I just was beginning to become comfortable with you all, Everything was going great"
BofA_Help,2022-06-02 10:29:00.211507,@116037 I'm sorry to see this and want to see how I can help. I will give you a call at the number you previously sent. ^kt
116037,2022-06-02 10:29:00.312669,"@116035 the the woman says, were regulated by the government they won't let us help you..She literally just blamed the government"
BofA_Help,2022-06-02 10:29:00.414896,"@116038 Hello, do you have any account related concerns that we can help with? Our Social Care Team is here if you need us. Thanks. ^cr"
116038,2022-06-02 10:29:00.517367,@116035 i have a question
XboxSupport,2022-06-02 10:29:00.619684,"@116039 Hi, can you direct message us and explain what issue you need assistance with? ^RM"
116039,2022-06-02 10:29:00.720863,@XboxSupport week 2 licence wont' validate my minecraft for windows 10 https://t.co/GbY14vW0FP
XboxSupport,2022-06-02 10:29:00.824369,"@116040 Hello! Most of the time connecting via ethernet can help, or restarting the console, router, and download. ^CO"
116040,2022-06-02 10:29:00.925631,"@XboxSupport Connection via Ethernet not possible where he is, also there's no file to delete &amp; restart as said before he's done a power cycle?"
XboxSupport,2022-06-02 10:29:01.026460,"@116040 Canceling the download, powering down the console, unplugging for five full minutes (this clears the cache), and try again. ^CO"
116040,2022-06-02 10:29:01.127556,"@XboxSupport my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please?"
XboxSupport,2022-06-02 10:29:01.228708,@116041 to express your interest in seeing those games added to back compat!  2 ^JS
116041,2022-06-02 10:29:01.329914,@XboxSupport who would I message for backwards compatible game suggestions 2 great games have sat on the fourms since 2015 https://t.co/Hv4lYsUelZ
XboxSupport,2022-06-02 10:29:01.434423,@116041 Thanks for reaching out! Casting your votes on https://t.co/sGGIDmeHwt is the best way  1 ^JS
XboxSupport,2022-06-02 10:29:01.536448,"@116042 Hey there! We'd like to DM so we can collect more info, let us know when you're Following us? https://t.co/FIM7Ks4Co5  ^FH"
116043,2022-06-02 10:29:01.638248,@XboxSupport @116042 Yeah have to reboot game when animals become ill and the strikes and crisis come way to quickly
116044,2022-06-02 10:29:01.739630,"@XboxSupport @116042 Yes there are many bugs in this game, especially when you try and release animals"
116042,2022-06-02 10:29:01.840605,"@99 Hi, Will you be fixing the bugs and crashes on Zoo Tycoon: Ultimate Animal Collection Xbox One Version?

Many Thanks"
XboxSupport,2022-06-02 10:29:01.941329,"@116045 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"
116045,2022-06-02 10:29:02.042998,"@XboxSupport I bought Dying Light from the xbox store and when I play it, it continuously freezes. I want my money back unless we can fix"
XboxSupport,2022-06-02 10:29:02.147511,@116046 You would need to have an active Game Pass subscription during the promo period to qualify: https://t.co/fMB5Tw1NOB  ^EZ
116046,2022-06-02 10:29:02.248702,@XboxSupport do you need a active game pass in order to receive the mystery gift from the giveaway?
XboxSupport,2022-06-02 10:29:02.349707,"@116047 Hi! We're an English support team, if that's ok, we're happy to help! Or our chat team can help: https://t.co/qSynA8s7TB ^CO"
116047,2022-06-02 10:29:02.451678,J'ai un pb quelqu'un a payer des jeux avec ma cb @XboxSupport 😓 pour acheter 210e de jeux...
XboxSupport,2022-06-02 10:29:02.552969,"@116048 Hello, thanks for reaching out to us. Can you DM us your gamertag and details of what you're seeing? ^CO"
116048,2022-06-02 10:29:02.653973,"@XboxSupport On Skype I can hear people, but they can't hear me. I've tried different controllers/mic &amp; uninstalling. Please help?"
AirAsiaSupport,2022-06-02 10:29:02.756240,"@116049 Hi Firdaus, we has respond you via DM,see you there! - Anwar"
116049,2022-06-02 10:29:02.857273,@AirAsiaSupport what happen to your system. I could not sent my refund info to e form
AzureSupport,2022-06-02 10:29:02.959453,@116050 Can you post this question to our forum here: https://t.co/923oV1HGoY and send us the link? We'd like to engage an engineer. ^TW
116050,2022-06-02 10:29:03.060552,@azuresupport #azhelp: why i can't use %env-variable% syntax in my function.json? Trying to deploy Function App but that syntax not working.
AzureSupport,2022-06-02 10:29:03.161830,"@116051 Are these the steps you followed: https://t.co/FYZZn3qGt8 ? Please DM us your sub ID. ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,2022-06-02 10:29:03.263110,"@116051 Sorry to hear your having trouble. Could you direct message us with the steps you are following? ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,2022-06-02 10:29:03.364704,@116052 Excellent! Let us know if you run into any trouble. We're here to help! ^TW
116052,2022-06-02 10:29:03.465938,"@AzureSupport Thanks for your help:) I've actually decided to use Azure Blob Storage instead, so I don't have to set up a service principal as a non-admin"
AzureSupport,2022-06-02 10:29:03.567899,@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH
116052,2022-06-02 10:29:03.668851,@azuresupport #azTechHelp Is there an easy way to transfer files from Azure File Store to Azure Data Lake?
AlaskaAir,2022-06-02 10:29:03.770119,@116053 Happy to hear our hardworking team took such good care of you. Thank you for choosing to fly with us. -Kimball
116053,2022-06-02 10:29:03.872987,Thank you @AlaskaAir for listening and helping when I had an issue today. Great customer service.
AlaskaAir,2022-06-02 10:29:03.974371,@116054 That's great to hear! Thanks for being such an awesome guest with us! -Sean
116054,2022-06-02 10:29:04.075033,Wow--great customer service @AlaskaAir! Thank you!
ArgosHelpers,2022-06-02 10:29:04.180863,@116055 I'm sorry to hear this. Please could you send a DM with your order number so I can look into this for you? - Paul
116055,2022-06-02 10:29:04.282326,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate
Postmates_Help,2022-06-02 10:29:04.384110,"@116056 Hey there! DM us the email on your account, please. We can help!"
116056,2022-06-02 10:29:04.485121,"Hey @116057, if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"
Postmates_Help,2022-06-02 10:29:04.591460,@116058 So sorry for the trouble! Please DM us your account email so we can look into this.
116058,2022-06-02 10:29:04.692601,@Postmates_Help order was messed up. Got a $5 refund when I deserve my money back. Food tasted horrible.
Morrisons,2022-06-02 10:29:04.793871,"@116059 Hi Wendss, sorry to hear this! Please DM me which store you use and I'll look into this :) - Kirsty"
116059,2022-06-02 10:29:04.895828,@Morrisons why have you discontinued your tinned ravioli in bolognese sauce. It was better than any other!! 😢
Morrisons,2022-06-02 10:29:04.996758,"@116060 Hi there, sorry to hear this :( I'll be sure to pass on your feedback :) - Kirsty"
116060,2022-06-02 10:29:05.097620,"Just so @Morrisons know, orange donuts were a TERRIBLE idea."
