author_id,created_at,text
AmazonHelp,2022-06-02 10:44:00.025401,@118828 Thanks for reaching out to us! You will be charged for your order once it ships out. ^FJ
118828,2022-06-02 10:44:00.127148,@AmazonHelp Ok. Thank you!
118828,2022-06-02 10:44:00.234705,@AmazonHelp when do you guys charge for the Xbox one X I preordered? It ships the 6th.
AmazonHelp,2022-06-02 10:44:00.339714,@118829 Can you confirm the delivery date provided in your order confirmation email? It can be viewed here: https://t.co/1aMUiU8Rcg ^LA
118829,2022-06-02 10:44:00.441585,@AmazonHelp https://t.co/saX0kAZVCW!
AmazonHelp,2022-06-02 10:44:00.543808,@118829 I'm sorry for the delay in delivery. Could you let us know from which website did you make the purchase? ^RW
118829,2022-06-02 10:44:00.645030,@115821 it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !
AmazonHelp,2022-06-02 10:44:00.750771,@118830 Thanks for bringing this to our attention. I've escalated this to our website team. ^SJ
118830,2022-06-02 10:44:00.858112,@115830 you have a problem in your website =D https://t.co/4eTPnxNN4q
AmazonHelp,2022-06-02 10:44:00.959401,@118831 恐れ入りますが、予約商品でも発売日のお届けを確約しておりません。https://t.co/vwDxlbpOLC  なお、発売日/発売日前日にお届けする場合、一定の条件を満たしている注文のみです。https://t.co/f3TKbgOOgv  TY
118831,2022-06-02 10:44:01.061721,"おいいいいい！発売する三ヶ月前から予約注文で受け付けた品物くらい発売日にきっちり届けろよAmazonさんw

だからkonozamaとか言われるんだよw"
AmazonHelp,2022-06-02 10:44:01.163160,"@118832 (2/2) Alternately, if you'd like us to verify in real-time you can reach us here:  https://t.co/hApLpMlfHN ^EB"
118832,2022-06-02 10:44:01.267538,@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH
118832,2022-06-02 10:44:01.368934,"@AmazonHelp __email__, notifying me about the missed call and asking me to call 1-877-243-2913 to verify purchase.Is this legit?"
118832,2022-06-02 10:44:01.477385,@AmazonHelp  Ordered a camera; Shortly after received call from 206-508-4014. I didn't answer.. I immediately received an email from...
AmazonHelp,2022-06-02 10:44:01.578793,@118832 Thank you for bringing this to our attention! I understand the concern. You can report this here: https://t.co/1oz4X7rU5m (1/2)
AppleSupport,2022-06-02 10:44:01.679578,"@118833 Let's work this out! Have you been able to update to iOS 11.1? If not, use the steps here: https://t.co/80YRnjDFDk"
