author_id,created_at,text
117869,2022-06-02 10:39:00.089451,"@115873 @Uber_Support hopeless. Waiting for someone to respond on my request, more than 30 hrs"
AmazonHelp,2022-06-02 10:39:00.191592,@117870 I'm sorry for any concern this causes! We'd like a chance to look into this with you by phone or chat here: https://t.co/JzP7hlA23B ^WT
117870,2022-06-02 10:39:00.296754,"@AmazonHelp I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks"
hulu_support,2022-06-02 10:39:00.399358,"@117871 Sorry those were missing for you, Julia! We got Jane and Weller on it, you should be able to catch the eps after a device restart"
117871,2022-06-02 10:39:00.501336,@hulu_support why is the second half of @2085 season 2 gone? 😭
hulu_support,2022-06-02 10:39:00.603437,"@117872 That shouldn't be! If you restart our app, then go to Browse&gt; Networks &gt;ESPN, any change?"
117872,2022-06-02 10:39:00.704352,@hulu_support Nope. Nothing between BTN and Fox.
hulu_support,2022-06-02 10:39:00.805780,"@117872 Thanks for checking! Let's go ahead and try these: https://t.co/C3IOhQGizS. If this continues, reach out: https://t.co/6YdK7bvQN7."
117872,2022-06-02 10:39:00.907017,@hulu_support Mysteriously came back without either sledge hammer. Maybe I just didn’t wait long enough to see channels after force quit.
hulu_support,2022-06-02 10:39:01.009273,"@117872 Either way, we're glad you're back in action! Don't hesitate to tweet us again if we can be of further assistance, Craig!"
117872,2022-06-02 10:39:01.112772,"@hulu_support How come I can’t stream ESPN on my (i)phone? It’s an MLS game, not NFL."
hulu_support,2022-06-02 10:39:01.214297,@117873 No news for on-demand plans currently; we can share the interest. We're able to slip them through with a portal gun for Live TV.
117873,2022-06-02 10:39:01.315415,@hulu_support how much long until you guy's release season 3 of @117874 ?!?
hulu_support,2022-06-02 10:39:01.419539,"@117875 Oh no! Which device are you using? If you try a quick reboot of your device, is there any improvement?"
117875,2022-06-02 10:39:01.521214,@hulu_support Apple TV
hulu_support,2022-06-02 10:39:01.622653,"@117875 Got it. Please try out: https://t.co/HQL1KwGgWo. If there's no improvement, please call us/chat us: https://t.co/6YdK7bvQN7."
117875,2022-06-02 10:39:01.727245,@hulu_support oh no. It's start bad again. Updated app. And still watching commercials and rewatching old footage.
hulu_support,2022-06-02 10:39:01.833294,"@117876 Sorry to hear about this! Which device are you on? If you try a quick device+modem/router reboot, any change?"
117876,2022-06-02 10:39:01.936199,Why does @115940 have such a hard time with live events and ads. Fix your goddamned system or I’m gone. The World Series is painful with you.
sprintcare,2022-06-02 10:39:02.037963,@117730 Is there anything else we can assist you with today?
117730,2022-06-02 10:39:02.140082,@sprintcare Did you find my phone that I returned to brooklawn nj store that was stolen by an employee  and credit account?
sprintcare,2022-06-02 10:39:02.241231,@117730 This issue is being investigated for you and we will contact you on Thursday with a resolution.
117730,2022-06-02 10:39:02.344377,"@sprintcare Ok thank you, will talk then"
sprintcare,2022-06-02 10:39:02.445794,@117730 My pleasure. Is there anything else I can assist you with today?
117730,2022-06-02 10:39:02.546898,"@sprintcare No that’s it, I hope this situation gets resolved quickly"
117730,2022-06-02 10:39:02.648021,"@117877 @115714 Exactly, it’s a Customer Service business so how could they be good to you if that is bad, I’d say it’s horrendous"
117877,2022-06-02 10:39:02.748954,@115714 has been good to me but their customer service sucks https://t.co/j1dYloidrM
UPSHelp,2022-06-02 10:39:02.849998,"@117878 I recommend going to https://t.co/I6LlCC0nht and select the ""Notify me with Updates"" option. If you select this option, you will receive automatic alerts once the package is ""Out for Delivery"", delivered or if there are any exceptions via email or SMS text.  ^LG https://t.co/wKJHDXWGRQ"
117878,2022-06-02 10:39:02.951179,My packages keep getting delayed because of “operating conditions”. I don’t understand because y’all just toss people packages &amp; go anyway @115817 @UPSHelp
sprintcare,2022-06-02 10:39:03.052025,"@117879 We would like to look into this for you. Please send us a Direct Message, so that we can further assist you. -JJ"
117880,2022-06-02 10:39:03.154305,"@sprintcare @117879 I didn’t get this deal either...I got $41 a month, if they’re offering it for $22 a month now that’s crazy I want in on it!"
sprintcare,2022-06-02 10:39:03.255378,@117880 Hi! The deal's available when you get it with Sprint Flex &amp; trade-in an eligible device. Info available here: https://t.co/7esColq99k . - FZ
117879,2022-06-02 10:39:03.358081,@115714 I preordered on Friday and didn’t get this deal 😡
115714,2022-06-02 10:39:03.458993,Get $350 off iPhone X when you pre-order yours with Sprint. #WorksForMe https://t.co/xFaqC6Mt5I
sprintcare,2022-06-02 10:39:03.562755,@117881 Tell us why? We really want to know. -JN
117881,2022-06-02 10:39:03.665190,Yah know... I'm really really really tired of @115714
sprintcare,2022-06-02 10:39:03.766642,@117688 Hello there! Please check our current promotions by clicking on the link https://t.co/OLXF2ShjmN
sprintcare,2022-06-02 10:39:03.867444,"@117882 That's not the feedback we like to read. What seems to be the issue? Let us know, we're here to help. -AP"
117882,2022-06-02 10:39:03.971293,Hold on... how?... nvm https://t.co/xgcksSyWqV
sprintcare,2022-06-02 10:39:04.072528,"@117883 We'd be more than willing to take a look at the area for you if you can DM us a good intersection, J. :) -CDE"
117883,2022-06-02 10:39:04.173875,@115714 sucks so bad. Always switching to roaming so they can charge me whatever the hell they want. Get a real network!
